smiles,reactants,reaction_names,num_steps,hits,compound_set
Cc1cc(CNC(=O)/C=C/c2ccc3occc3c2)n(C)n1,"[('O=C(O)/C=C/c1ccc2occc2c1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
COc1cc(/C=C/C(=O)NCc2cc(C)nn2C)ccc1O,"[('COc1cc(/C=C/C(=O)O)ccc1O', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)/C=C/c2ccc(O)c(O)c2)n(C)n1,"[('O=C(O)/C=C/c1ccc(O)c(O)c1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CNC(=O)c2cc(C)oc2C)n(C)n1,"[('Cc1cc(C(=O)NCC(=O)O)c(C)o1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)/C=C/c2ccc3c(c2)OCO3)n(C)n1,"[('O=C(O)/C=C/c1ccc2c(c1)OCO2', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCn2c(C)cc(O)cc2=O)n(C)n1,"[('Cc1cc(O)cc(=O)n1CCC(=O)O', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)c2ccc3ccc(O)nc3c2)n(C)n1,"[('O=C(O)c1ccc2ccc(O)nc2c1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
COc1ccn2ncc(C(=O)NCc3cc(C)nn3C)c2c1,"[('COc1ccn2ncc(C(=O)O)c2c1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CNC(=O)c2ccc(C)s2)n(C)n1,"[('Cc1ccc(C(=O)NCC(=O)O)s1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(C)nc(SCC(=O)NCc2cc(C)nn2C)n1,"[('Cc1cc(C)nc(SCC(=O)O)n1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCn2ccc3cccnc32)n(C)n1,"[('O=C(O)CCn1ccc2cccnc21', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)c2ccc3c(c2)=NC(=S)N=3)n(C)n1,"[('O=C(O)c1ccc2c(c1)=NC(=S)N=2', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCn2ccc3ccccc32)n(C)n1,"[('O=C(O)CCn1ccc2ccccc21', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CNC(=O)c2cc(C)nn2C)n(C)n1,"[('Cc1cc(C(=O)NCC(=O)O)n(C)n1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCc2nc3ccccc3o2)n(C)n1,"[('O=C(O)CCc1nc2ccccc2o1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCn2cnc3ccccc32)n(C)n1,"[('O=C(O)CCn1cnc2ccccc21', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCn2ncc3c2CCCC3)n(C)n1,"[('O=C(O)CCn1ncc2c1CCCC2', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)c2cc3cc(O)ccc3o2)n(C)n1,"[('O=C(O)c1cc2cc(O)ccc2o1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCn2ncc3ccccc32)n(C)n1,"[('O=C(O)CCn1ncc2ccccc21', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1ccc2c(c1)cc(C(=O)NCc1cc(C)nn1C)n2C,"[('Cc1ccc2c(c1)cc(C(=O)O)n2C', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CNC(=O)Nc2ccccc2)n(C)n1,"[('O=C(O)CNC(=O)Nc1ccccc1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
COc1ccc(/C=C/C(=O)NCc2cc(C)nn2C)cc1,"[('COc1ccc(/C=C/C(=O)O)cc1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)/C=C/c2ccc(O)cc2)n(C)n1,"[('O=C(O)/C=C/c1ccc(O)cc1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)c2cc(-c3ccncc3)no2)n(C)n1,"[('O=C(O)c1cc(-c2ccncc2)no1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CNC(=O)c2cnoc2C)n(C)n1,"[('Cc1oncc1C(=O)NCC(=O)O', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCc2cc3ccccc3o2)n(C)n1,"[('O=C(O)CCc1cc2ccccc2o1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
COc1cccc(C#CC(=O)NCc2cc(C)nn2C)c1,"[('COc1cccc(C#CC(=O)O)c1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)c2cc3ccc(O)cc3o2)n(C)n1,"[('O=C(O)c1cc2ccc(O)cc2o1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCc2cc(Cl)cs2)n(C)n1,"[('O=C(O)CCc1cc(Cl)cs1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)/C=C\Sc2ccccc2)n(C)n1,"[('O=C(O)/C=C\\Sc1ccccc1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)C[C@@H]2COc3cc(O)ccc32)n(C)n1,"[('O=C(O)C[C@@H]1COc2cc(O)ccc21', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)[C@H](C)NC(=O)c2cnoc2C)n(C)n1,"[('Cc1oncc1C(=O)N[C@@H](C)C(=O)O', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCc2cn3ccccc3n2)n(C)n1,"[('O=C(O)CCc1cn2ccccc2n1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)C#Cc2ccc3c(c2)OCO3)n(C)n1,"[('O=C(O)C#Cc1ccc2c(c1)OCO2', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)[C@@H]2C[C@H]2c2ccc(O)cc2)n(C)n1,"[('O=C(O)[C@@H]1C[C@H]1c1ccc(O)cc1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)/C=C/c2c(C)nn(C)c2C)n(C)n1,"[('Cc1nn(C)c(C)c1/C=C/C(=O)O', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)c2ccc3c(c2)NC(=O)CC3)n(C)n1,"[('O=C1CCc2ccc(C(=O)O)cc2N1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CC(=O)Nc2ccccc2F)n(C)n1,"[('O=C(O)CC(=O)Nc1ccccc1F', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
CC(=O)Nc1ccc(O)c(C(=O)NCc2cc(C)nn2C)c1,"[('CC(=O)Nc1ccc(O)c(C(=O)O)c1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CNC(=O)c2ccoc2C)n(C)n1,"[('Cc1occc1C(=O)NCC(=O)O', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)/C=C/c2cc3ccccc3o2)n(C)n1,"[('O=C(O)/C=C/c1cc2ccccc2o1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CCC2=NC(=S)N=C2)n(C)n1,"[('O=C(O)CCC1=NC(=S)N=C1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)c2ccc3c(c2)=NC(=O)N=3)n(C)n1,"[('O=C1N=c2ccc(C(=O)O)cc2=N1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CNC(=O)c2ccsc2)n(C)n1,"[('O=C(O)CNC(=O)c1ccsc1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(CNC(=O)CSC2=NCCN2)n(C)n1,"[('O=C(O)CSC1=NCCN1', 'Cc1cc(CN)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
