ID_amine,ROMol_amine,ID_carboxyl,ROMol_carboxyl,product,amine,carboxyl
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-7444943,<rdkit.Chem.rdchem.Mol object at 0x16a245310>,Cc1cc(NC(=O)/C=C/c2ccc3occc3c2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)/C=C/c1ccc2occc2c1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-16798,<rdkit.Chem.rdchem.Mol object at 0x16a245380>,COc1cc(/C=C/C(=O)Nc2cc(C)nn2C)ccc1O,Cc1cc(N)n(C)n1,COc1cc(/C=C/C(=O)O)ccc1O
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-1067793,<rdkit.Chem.rdchem.Mol object at 0x16a2453f0>,Cc1cc(NC(=O)/C=C/c2ccc(O)c(O)c2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)/C=C/c1ccc(O)c(O)c1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-51296,<rdkit.Chem.rdchem.Mol object at 0x16a245460>,Cc1cc(NC(=O)CNC(=O)c2cc(C)oc2C)n(C)n1,Cc1cc(N)n(C)n1,Cc1cc(C(=O)NCC(=O)O)c(C)o1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-331721,<rdkit.Chem.rdchem.Mol object at 0x16a2454d0>,Cc1cc(NC(=O)/C=C/c2ccc3c(c2)OCO3)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)/C=C/c1ccc2c(c1)OCO2
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-103435,<rdkit.Chem.rdchem.Mol object at 0x16a245540>,Cc1cc(NC(=O)CCn2c(C)cc(O)cc2=O)n(C)n1,Cc1cc(N)n(C)n1,Cc1cc(O)cc(=O)n1CCC(=O)O
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-146788,<rdkit.Chem.rdchem.Mol object at 0x16a2455b0>,Cc1cc(NC(=O)c2ccc3ccc(O)nc3c2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)c1ccc2ccc(O)nc2c1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-84745,<rdkit.Chem.rdchem.Mol object at 0x16a245620>,COc1ccn2ncc(C(=O)Nc3cc(C)nn3C)c2c1,Cc1cc(N)n(C)n1,COc1ccn2ncc(C(=O)O)c2c1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-04021,<rdkit.Chem.rdchem.Mol object at 0x16a245690>,Cc1cc(NC(=O)CNC(=O)c2ccc(C)s2)n(C)n1,Cc1cc(N)n(C)n1,Cc1ccc(C(=O)NCC(=O)O)s1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-16452,<rdkit.Chem.rdchem.Mol object at 0x16a245700>,Cc1cc(C)nc(SCC(=O)Nc2cc(C)nn2C)n1,Cc1cc(N)n(C)n1,Cc1cc(C)nc(SCC(=O)O)n1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-1718344,<rdkit.Chem.rdchem.Mol object at 0x16a245770>,Cc1cc(NC(=O)CCn2ccc3cccnc32)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCn1ccc2cccnc21
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-43832,<rdkit.Chem.rdchem.Mol object at 0x16a2457e0>,Cc1cc(NC(=O)c2ccc3c(c2)=NC(=S)N=3)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)c1ccc2c(c1)=NC(=S)N=2
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-10898,<rdkit.Chem.rdchem.Mol object at 0x16a245850>,Cc1cc(NC(=O)CCn2ccc3ccccc32)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCn1ccc2ccccc21
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-905232,<rdkit.Chem.rdchem.Mol object at 0x16a2458c0>,Cc1cc(NC(=O)CNC(=O)c2cc(C)nn2C)n(C)n1,Cc1cc(N)n(C)n1,Cc1cc(C(=O)NCC(=O)O)n(C)n1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-12098,<rdkit.Chem.rdchem.Mol object at 0x16a245930>,Cc1cc(NC(=O)CCc2nc3ccccc3o2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCc1nc2ccccc2o1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-14584,<rdkit.Chem.rdchem.Mol object at 0x16a2459a0>,Cc1cc(NC(=O)CCn2cnc3ccccc32)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCn1cnc2ccccc21
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-238209,<rdkit.Chem.rdchem.Mol object at 0x16a245a10>,Cc1cc(NC(=O)CCn2ncc3c2CCCC3)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCn1ncc2c1CCCC2
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-3043749,<rdkit.Chem.rdchem.Mol object at 0x16a245a80>,Cc1cc(NC(=O)c2cc3cc(O)ccc3o2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)c1cc2cc(O)ccc2o1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-16833,<rdkit.Chem.rdchem.Mol object at 0x16a245af0>,Cc1cc(NC(=O)/C=C/c2ccc3c(c2)OCO3)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)/C=C/c1ccc2c(c1)OCO2
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-2681462,<rdkit.Chem.rdchem.Mol object at 0x16a245bd0>,Cc1cc(NC(=O)CCn2ncc3ccccc32)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCn1ncc2ccccc21
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-155755,<rdkit.Chem.rdchem.Mol object at 0x16a245b60>,Cc1ccc2c(c1)cc(C(=O)Nc1cc(C)nn1C)n2C,Cc1cc(N)n(C)n1,Cc1ccc2c(c1)cc(C(=O)O)n2C
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-25612,<rdkit.Chem.rdchem.Mol object at 0x16a245cb0>,Cc1cc(NC(=O)CNC(=O)Nc2ccccc2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CNC(=O)Nc1ccccc1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-312690,<rdkit.Chem.rdchem.Mol object at 0x16a245c40>,COc1ccc(/C=C/C(=O)Nc2cc(C)nn2C)cc1,Cc1cc(N)n(C)n1,COc1ccc(/C=C/C(=O)O)cc1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-17292,<rdkit.Chem.rdchem.Mol object at 0x16a245d90>,Cc1cc(NC(=O)/C=C/c2ccc(O)cc2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)/C=C/c1ccc(O)cc1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-1866018,<rdkit.Chem.rdchem.Mol object at 0x16a245d20>,Cc1cc(NC(=O)c2cc(-c3ccncc3)no2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)c1cc(-c2ccncc2)no1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-33428,<rdkit.Chem.rdchem.Mol object at 0x16a245e70>,Cc1cc(NC(=O)CNC(=O)c2cnoc2C)n(C)n1,Cc1cc(N)n(C)n1,Cc1oncc1C(=O)NCC(=O)O
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-15389,<rdkit.Chem.rdchem.Mol object at 0x16a245e00>,Cc1cc(NC(=O)CCc2cc3ccccc3o2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCc1cc2ccccc2o1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-743610,<rdkit.Chem.rdchem.Mol object at 0x16a245f50>,COc1cccc(C#CC(=O)Nc2cc(C)nn2C)c1,Cc1cc(N)n(C)n1,COc1cccc(C#CC(=O)O)c1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-151996,<rdkit.Chem.rdchem.Mol object at 0x16a245ee0>,Cc1cc(NC(=O)c2cc3ccc(O)cc3o2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)c1cc2ccc(O)cc2o1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-81791,<rdkit.Chem.rdchem.Mol object at 0x16a246030>,Cc1cc(NC(=O)CCc2cc(Cl)cs2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCc1cc(Cl)cs1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-317365,<rdkit.Chem.rdchem.Mol object at 0x16a245fc0>,Cc1cc(NC(=O)/C=C\Sc2ccccc2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)/C=C\Sc1ccccc1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-342529,<rdkit.Chem.rdchem.Mol object at 0x16a246110>,Cc1cc(NC(=O)C[C@@H]2COc3cc(O)ccc32)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)C[C@@H]1COc2cc(O)ccc21
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-50169,<rdkit.Chem.rdchem.Mol object at 0x16a2460a0>,Cc1cc(NC(=O)[C@H](C)NC(=O)c2cnoc2C)n(C)n1,Cc1cc(N)n(C)n1,Cc1oncc1C(=O)N[C@@H](C)C(=O)O
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-1845415,<rdkit.Chem.rdchem.Mol object at 0x16a2461f0>,Cc1cc(NC(=O)CCc2cn3ccccc3n2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCc1cn2ccccc2n1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-108146,<rdkit.Chem.rdchem.Mol object at 0x16a246180>,Cc1cc(NC(=O)C#Cc2ccc3c(c2)OCO3)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)C#Cc1ccc2c(c1)OCO2
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-1765893,<rdkit.Chem.rdchem.Mol object at 0x16a2462d0>,Cc1cc(NC(=O)[C@@H]2C[C@H]2c2ccc(O)cc2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)[C@@H]1C[C@H]1c1ccc(O)cc1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-1264296,<rdkit.Chem.rdchem.Mol object at 0x16a246260>,Cc1cc(NC(=O)/C=C/c2c(C)nn(C)c2C)n(C)n1,Cc1cc(N)n(C)n1,Cc1nn(C)c(C)c1/C=C/C(=O)O
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-395857,<rdkit.Chem.rdchem.Mol object at 0x16a2463b0>,Cc1cc(NC(=O)c2ccc3c(c2)NC(=O)CC3)n(C)n1,Cc1cc(N)n(C)n1,O=C1CCc2ccc(C(=O)O)cc2N1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-267747,<rdkit.Chem.rdchem.Mol object at 0x16a246340>,Cc1cc(NC(=O)CC(=O)Nc2ccccc2F)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CC(=O)Nc1ccccc1F
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-52452,<rdkit.Chem.rdchem.Mol object at 0x16a246490>,CC(=O)Nc1ccc(O)c(C(=O)Nc2cc(C)nn2C)c1,Cc1cc(N)n(C)n1,CC(=O)Nc1ccc(O)c(C(=O)O)c1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-45508,<rdkit.Chem.rdchem.Mol object at 0x16a246420>,Cc1cc(NC(=O)CNC(=O)c2ccoc2C)n(C)n1,Cc1cc(N)n(C)n1,Cc1occc1C(=O)NCC(=O)O
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-270448,<rdkit.Chem.rdchem.Mol object at 0x16a246570>,Cc1cc(NC(=O)/C=C/c2cc3ccccc3o2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)/C=C/c1cc2ccccc2o1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-50614,<rdkit.Chem.rdchem.Mol object at 0x16a246500>,Cc1cc(NC(=O)CCC2=NC(=S)N=C2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCC1=NC(=S)N=C1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-35411,<rdkit.Chem.rdchem.Mol object at 0x16a246650>,Cc1cc(NC(=O)c2ccc3c(c2)=NC(=O)N=3)n(C)n1,Cc1cc(N)n(C)n1,O=C1N=c2ccc(C(=O)O)cc2=N1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-52322,<rdkit.Chem.rdchem.Mol object at 0x16a2466c0>,Cc1cc(NC(=O)CNC(=O)c2ccsc2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CNC(=O)c1ccsc1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-7708964,<rdkit.Chem.rdchem.Mol object at 0x16a246730>,Cc1cc(NC(=O)CSC2=NCCN2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CSC1=NCCN1
