smiles,hits,template,compound_set
CC(=O)Nc1cc(CC(=O)N[C@@H](CNC(=O)CCl)c2ccc3ccccc3c2)cnn1 |a:11|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2024
CC(=O)Nc1c(CC(=O)N[C@@H](CNC(=O)CCl)c2ccc3ccccc3c2)c(C)nn1C |a:10|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2025
CC(=O)Nc1cc(CC(=O)N[C@@H](CNC(=O)CCl)c2cccnc2)cnn1 |a:11|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2026
CC(=O)Nc1c(CC(=O)N[C@@H](CNC(=O)CCl)c2cccnc2)c(C)nn1C |a:10|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2027
CC(=O)Nc1cc(CC(=O)N[C@@H](CNC(=O)CN)c2ccc3ccccc3c2)cnn1 |a:11|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2028
CC(=O)Nc1c(CC(=O)N[C@@H](CNC(=O)CN)c2ccc3ccccc3c2)c(C)nn1C |a:10|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2029
Cc1nn(C)c(C)c1CC(=O)N[C@@H](CNC(=O)CN)c1ccc2ccccc2c1 |a:12|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2030
CC(=O)Nc1cc(CC(=O)N[C@@H](CNC(=O)CN)c2cccnc2)cnn1 |a:11|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2031
CC(=O)Nc1c(CC(=O)N[C@@H](CNC(=O)CN)c2cccnc2)c(C)nn1C |a:10|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2032
CC(=O)Nc1cncc(CC(=O)N[C@@H](CNC(=O)CCl)c2ccc3ccccc3c2)c1 |a:13|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2033
CC(=O)Nc1cncc(CC(=O)N[C@@H](CNC(=O)CCl)c2cccnc2)c1 |a:13|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2034
CC(=O)Nc1cncc(CC(=O)N[C@@H](CNC(=O)CN)c2ccc3ccccc3c2)c1 |a:13|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2035
CC(=O)Nc1cncc(CC(=O)N[C@@H](CNC(=O)CN)c2cccnc2)c1 |a:13|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2036
CC(=O)Nc1cc(CC(=O)N[C@@H](CNC(=O)CCl)c2ccc3ccccc3c2)c(NC(C)=O)nn1 |a:11|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2037
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)N[C@@H](CNC(=O)CCl)c1ccc2ccccc2c1 |a:18|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2038
CC(=O)Nc1cc(CC(=O)N[C@@H](CNC(=O)CCl)c2cccnc2)c(NC(C)=O)nn1 |a:11|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2039
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)N[C@@H](CNC(=O)CCl)c1cccnc1 |a:18|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2040
CC(=O)Nc1cc(CC(=O)N[C@@H](CNC(=O)CN)c2ccc3ccccc3c2)c(NC(C)=O)nn1 |a:11|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2041
CC(=O)Nc1cc(CC(=O)NCC(NC(=O)CCl)c2ccc3ccccc3c2)c(NC(C)=O)nn1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2042
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)NCC(NC(=O)CCl)c1ccc2ccccc2c1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2043
CC(=O)Nc1cc(CC(=O)NCC(NC(=O)CCl)c2cccnc2)c(NC(C)=O)nn1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2044
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)NCC(NC(=O)CCl)c1cccnc1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2045
CC(=O)Nc1cc(CC(=O)NCC(NC(=O)CN)c2ccc3ccccc3c2)c(NC(C)=O)nn1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2046
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)N[C@@H](CNC(=O)CN)c1ccc2ccccc2c1 |a:18|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2047
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)NCC(NC(=O)CN)c1ccc2ccccc2c1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2048
Cc1nn(C)c(C)c1CC(=O)NCC(NC(=O)CN)c1ccc2ccccc2c1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2049
CC(=O)Nc1cc(CC(=O)N[C@@H](CNC(=O)CN)c2cccnc2)c(NC(C)=O)nn1 |a:11|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2050
CC(=O)Nc1cc(CC(=O)NCC(NC(=O)CN)c2cccnc2)c(NC(C)=O)nn1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2051
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)N[C@@H](CNC(=O)CN)c1cccnc1 |a:18|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2052
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)NCC(NC(=O)CN)c1cccnc1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2053
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)N[C@@H](CNC(=O)CCl)c2ccc3ccccc3c2)c1 |a:17|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2054
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)NCC(NC(=O)CCl)c2ccc3ccccc3c2)c1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2055
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)N[C@@H](CNC(=O)CCl)c2cccnc2)c1 |a:17|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2056
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)NCC(NC(=O)CCl)c2cccnc2)c1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2057
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)N[C@@H](CNC(=O)CN)c2ccc3ccccc3c2)c1 |a:17|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2058
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)NCC(NC(=O)CN)c2ccc3ccccc3c2)c1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2059
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)N[C@@H](CNC(=O)CN)c2cccnc2)c1 |a:17|,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2060
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)NCC(NC(=O)CN)c2cccnc2)c1,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax1346a,x1346_manual_analogues_aug_2061